@RELATION adaboost_evaluation

@ATTRIBUTE predictive_accuracy NUMERIC
@ATTRIBUTE classifier__algorithm {SAMME, SAMME.R}
@ATTRIBUTE classifier__base_estimator__max_depth NUMERIC
@ATTRIBUTE classifier__learning_rate NUMERIC
@ATTRIBUTE classifier__n_estimators NUMERIC
@ATTRIBUTE imputation__strategy {median, mean, most_frequent}
@ATTRIBUTE task_id NUMERIC

@DATA
0.9965581977471839,SAMME,9.0,0.13763986428910163,161.0,median,3
0.9759073842302878,SAMME.R,2.0,0.043673544944092015,198.0,mean,3
0.9959324155193993,SAMME,6.0,0.6343548871169865,430.0,most_frequent,3
0.9965581977471839,SAMME,10.0,0.011909075821047799,326.0,most_frequent,3
0.9956195244055068,SAMME.R,6.0,0.012330078796171304,106.0,median,3
0.9671464330413017,SAMME,4.0,0.11168404025938139,106.0,mean,3
0.9915519399249061,SAMME,5.0,0.05621160916015674,319.0,mean,3
0.9937421777221528,SAMME.R,8.0,0.02326694325195411,143.0,most_frequent,3
0.9971839799749687,SAMME,10.0,0.040263443407232924,342.0,most_frequent,3
0.9962453066332917,SAMME.R,5.0,0.020297140542444195,229.0,median,3
0.9928035043804756,SAMME,5.0,0.130278922167231,181.0,most_frequent,3
0.9959324155193993,SAMME.R,9.0,1.0424273872389436,110.0,mean,3
0.9893617021276596,SAMME,5.0,0.04705462280414025,287.0,median,3
0.940863579474343,SAMME,3.0,0.0171429085015103,318.0,most_frequent,3
0.98811013767209,SAMME.R,4.0,0.016051935566150304,64.0,mean,3
0.9959324155193993,SAMME.R,5.0,0.015033375108277049,295.0,most_frequent,3
0.9949937421777222,SAMME.R,9.0,0.7290999817660428,440.0,most_frequent,3
0.9693366708385481,SAMME.R,1.0,0.4567863617257383,358.0,most_frequent,3
0.9959324155193993,SAMME.R,2.0,0.17200146556124693,472.0,most_frequent,3
0.9943679599499374,SAMME.R,10.0,0.0506108851700031,116.0,median,3
0.9974968710888611,SAMME.R,4.0,0.9854924249394553,446.0,mean,3
0.9956195244055068,SAMME,10.0,0.39960093551040604,456.0,median,3
